DEBUG 2024-11-29 17:47:44,482 autoreload File C:\Python312\Lib\site-packages\openai\types\shared_params\function_parameters.py first seen with mtime 1731399199.8670335
DEBUG 2024-11-29 17:47:44,482 autoreload File C:\Python312\Lib\site-packages\httplib2\__init__.py first seen with mtime 1731388188.9036393
DEBUG 2024-11-29 17:47:44,482 autoreload File C:\Python312\Lib\_strptime.py first seen with mtime 1725636674.0
DEBUG 2024-11-29 17:47:44,482 autoreload File C:\Python312\Lib\site-packages\pandas\_libs\__init__.py first seen with mtime 1731399520.6023242
DEBUG 2024-11-29 17:47:44,482 autoreload File C:\Python312\Lib\site-packages\pandas\_libs\tslibs\nattype.cp312-win_amd64.pyd first seen with mtime 1731399520.6068363
DEBUG 2024-11-29 17:47:44,482 autoreload File C:\Python312\Lib\site-packages\openai\types\beta\thread_create_and_run_params.py first seen with mtime 1731399199.7910018
DEBUG 2024-11-29 17:47:44,488 autoreload File C:\Python312\Lib\site-packages\pandas\core\computation\api.py first seen with mtime 1731399519.7683938
DEBUG 2024-11-29 17:47:44,489 autoreload File C:\Python312\Lib\site-packages\google\oauth2\service_account.py first seen with mtime 1732792594.2849016
DEBUG 2024-11-29 17:47:44,489 autoreload File C:\Python312\Lib\site-packages\google\ai\generativelanguage_v1beta\types\generative_service.py first seen with mtime 1731388192.025055
DEBUG 2024-11-29 17:47:44,489 autoreload File C:\Python312\Lib\dis.py first seen with mtime 1725636674.0
DEBUG 2024-11-29 17:47:44,489 autoreload File C:\Python312\Lib\site-packages\openai\resources\batches.py first seen with mtime 1731399199.69414
DEBUG 2024-11-29 17:47:44,489 autoreload File C:\Python312\Lib\site-packages\rest_framework\authtoken\models.py first seen with mtime 1731399421.1919725
DEBUG 2024-11-29 17:47:44,489 autoreload File C:\Python312\Lib\site-packages\django\db\models\constraints.py first seen with mtime 1730979580.7399952
DEBUG 2024-11-29 17:47:44,489 autoreload File C:\Python312\Lib\site-packages\django\utils\crypto.py first seen with mtime 1730979580.815418
DEBUG 2024-11-29 17:47:44,489 autoreload File C:\Python312\Lib\site-packages\httpx\_status_codes.py first seen with mtime 1732792709.9598262
DEBUG 2024-11-29 17:47:44,492 autoreload File C:\Python312\Lib\site-packages\pydantic\_internal\_discriminated_union.py first seen with mtime 1731388189.4226203
DEBUG 2024-11-29 17:47:44,492 autoreload File C:\Python312\Lib\site-packages\jazzmin\templatetags\jazzmin.py first seen with mtime 1731399359.6766777
DEBUG 2024-11-29 17:47:44,492 autoreload File C:\Python312\Lib\site-packages\django\db\__init__.py first seen with mtime 1730979580.7079222
DEBUG 2024-11-29 17:47:44,492 autoreload File C:\Python312\Lib\site-packages\openai\lib\azure.py first seen with mtime 1731399199.6836605
DEBUG 2024-11-29 17:47:44,492 autoreload File C:\Python312\Lib\site-packages\h11\_readers.py first seen with mtime 1732792709.4819653
